mena-migration,count
migration,509
MENA,246
North Africa,114
refugee,70
Syria,67
Mediterranean,66
trafficking,65
war,38
North Africa.,25
North Africa,,19
migration crisis,3
globalisation,3
migration crisis.,2
migration crisis,,1
North Africa?,1
North Africa;,1
