178,60,39,20,26,26,28,18,9,11,1,2,1,1,1,0
60,71,45,20,28,26,5,18,13,13,1,2,1,1,1,0
39,45,49,20,28,26,2,18,13,14,1,2,1,1,1,0
20,20,20,23,19,12,1,14,7,6,1,1,1,1,0,0
26,28,28,19,31,15,1,16,8,7,1,1,1,1,0,0
26,26,26,12,15,34,2,10,11,13,1,2,1,1,0,0
28,5,2,1,1,2,31,2,0,2,1,1,1,1,0,0
18,18,18,14,16,10,2,22,4,5,1,1,1,1,0,0
9,13,13,7,8,11,0,4,14,4,0,0,0,0,0,0
11,13,14,6,7,13,2,5,4,14,1,1,1,1,0,0
1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0
2,2,2,1,1,2,1,1,0,1,1,2,1,1,0,0
1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
