89,37,25,13,15,16,13,10,5,6,3,1,2,1,1,1
37,44,30,13,16,17,5,10,7,8,4,1,2,1,1,1
25,30,31,14,16,18,2,11,7,8,4,1,2,1,1,1
13,13,14,15,8,12,1,7,5,4,5,1,1,1,1,0
15,16,16,8,20,8,2,6,5,8,3,1,2,1,1,0
16,17,18,12,8,19,1,8,4,4,4,1,1,1,1,0
13,5,2,1,2,1,15,2,0,2,0,1,1,1,1,0
10,10,11,7,6,8,2,12,3,4,3,1,1,1,1,0
5,7,7,5,5,4,0,3,7,0,4,0,0,0,0,0
6,8,8,4,8,4,2,4,0,8,0,1,1,1,1,0
3,4,4,5,3,4,0,3,4,0,5,0,0,0,0,0
1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
2,2,2,1,2,1,1,1,0,1,0,1,2,1,1,0
1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
