19,12,8,1,4,4,1,3,1,1,1
12,8,6,2,5,4,0,0,0,0,0
12,6,6,1,3,5,1,1,0,0,0
9,8,7,1,6,4,1,0,0,0,0
12,6,7,1,5,2,1,2,0,0,0
16,12,14,1,8,5,3,3,1,1,1
10,5,6,0,3,2,2,1,0,0,0
8,6,7,0,3,4,0,1,0,0,0
13,8,8,0,6,4,2,1,0,0,0
9,7,6,2,6,4,0,1,1,1,1
7,5,5,1,4,5,0,0,0,0,0
10,6,5,0,3,2,1,0,0,0,0
8,4,5,0,4,3,0,0,0,0,0
9,5,4,1,4,4,0,0,0,0,0
15,5,2,0,1,2,0,0,0,0,0
8,4,5,1,3,4,0,0,0,0,0
6,2,0,0,1,1,0,0,0,0,0
6,3,4,0,2,1,1,0,0,0,0
7,4,1,1,3,3,0,1,1,1,1
9,5,3,0,1,2,0,2,0,0,0
6,3,3,0,2,2,0,0,0,0,0
5,3,3,0,2,2,0,0,0,0,0
4,2,3,1,1,2,0,0,0,0,0
6,3,4,0,3,0,1,1,0,0,0
6,4,5,1,3,2,0,0,0,0,0
