19,13,13,8,7,10,1,4,2,2,1,1,1,1,1,1
12,16,15,6,10,9,2,5,6,4,3,0,0,0,0,0
12,17,16,6,10,8,1,3,5,4,2,0,1,0,0,0
9,12,13,7,8,10,1,6,5,3,3,0,0,0,0,0
12,16,15,7,8,10,1,5,5,3,4,0,0,0,0,1
16,17,18,14,9,16,1,8,6,3,5,1,1,1,1,0
10,13,12,6,7,9,0,3,4,3,4,0,0,0,0,0
8,12,12,7,8,10,0,3,5,3,3,0,0,0,0,0
13,18,18,8,10,11,0,6,7,4,4,0,0,0,0,0
9,13,13,6,9,9,2,6,4,5,3,1,1,1,1,0
7,12,12,5,9,7,1,4,4,5,2,0,0,0,0,0
10,8,9,5,6,7,0,3,4,2,2,0,0,0,0,0
8,13,13,5,8,9,0,4,3,5,2,0,0,0,0,0
9,12,11,4,8,6,1,4,3,4,1,0,0,0,0,0
15,7,5,2,4,4,0,1,1,2,1,0,0,0,0,0
8,12,11,5,8,6,1,3,4,4,2,0,0,0,0,0
6,1,1,0,2,0,0,1,0,1,0,0,0,0,0,0
6,5,6,4,4,5,0,2,3,1,2,0,0,0,0,0
7,3,3,1,3,2,1,3,0,2,0,1,1,1,1,0
9,7,7,3,5,3,0,1,0,3,0,0,1,0,0,1
6,8,8,3,6,5,0,2,2,3,1,0,0,0,0,0
5,9,9,3,5,6,0,2,3,1,2,0,0,0,0,0
4,9,8,3,4,5,1,1,3,1,2,0,0,0,0,0
6,6,6,4,3,5,0,3,2,2,2,0,0,0,0,0
6,11,10,5,7,8,1,3,4,3,3,0,0,0,0,0
